c	윤석열 중징계	문재인 의원 소환까지 유신독재를 떠올리는 일련의 과정에는 김기춘 비서실장이 빠짐없이 거론됐다. 만일 윤석열 지청장의 중징계와 조영곤 지검장 면죄부 결정이 대검철창 감찰위원회의 의견을 무시한 채 내려진 것이라면, 이번 결정이 누구의
c	정청래 박근혜	【서울=뉴시스】박대로 기자 = 민주당 정청래 의원이 통합진보당 이정희 대표의 '박근혜씨' 발언 논란과 관련, '환생경제' 연극을 예로 들며 박근혜 대통령과 새누리당을 비난한 것으로 12일 드러났다. 정 의원은 전날 자신의 트위터에서
c	이석기 첫공판	【수원=뉴시스】노수정 기자 =내란음모 혐의로 기소된 통합진보당 이석기 의원에 대한 첫 공판에서 검찰과 변호인단은 지하혁명조직 'RO'의 실체를 두고 날선 공방을 벌였다. 12일 오후 수원지법 형사12부(부장판사 김정운) 심리로 열린
e	에일리 공식입장	에일리는 누드 사진이 유출돼 논란이 불거진 지 이틀 만에 한국으로 돌아오게 됐다. 이날 에일리는 누드 사진 유출 사건에 관해 어떤 공식입장도 언급하지 않은 채 묵묵부답으로 일관하며 공항을 빠져나갔다. 이후 에일리는 오는 14일 진행되는 '
c	푸틴 방한	핵ㆍ미사일 불용…역사퇴행적 언동 우려" (서울=연합뉴스) 김남권 기자 = 박근혜 대통령은 13일 공식 방한한 블라디미르 푸틴 러시아 대통령과 정상회담을 하고 '유라시아 이니셔티브' 관련 협력과 한반도 평화구축을 위한 양국 간 노력에
e	오로라공주 연장반대	연출 김정호 장준호) 속 임예진 하차 소식과 추가 연장설이 전해진 직후 다음 아고라 이슈 청원 게시판에는 "'오로라공주' 연장 반대 및 종영을 요구합니다"는 제목으로 청원이 게재됐다. 이 청원이 화제가 돼 포털사이트 실시간 검색어에
c	최경환 국회선진화법	【서울=뉴시스】이국현 기자 = 새누리당 최경환 원내대표는 13일 "국회선진화법 개정안을 마련해 빠른 시일 내에 제출하겠다"고 밝혔다. 최 원내대표는 이날 오전 여의도 새누리당 당사에서 열린 최고중진연석회의에 참석해 "의회 민주주의 원리와
c	김진태 해명	기자 = 김진태 검찰총장 후보자가 13일 병역면제와 삼성 특혜입사 등 아들 관련 의혹을 반박했다. 김 후보자는 이날 오전 국회에서 열린 인사청문회에 출석, 아들의 삼성 특혜입사 의혹에 관한 민주당 박범계 의원의 질의에 "대학생들이 선호하는 제1직장이 삼성이었다. 아들은 경영학부를 다녀서 1학년 때부터 공부를 열심히 했다. 그런데도 첫 응시 때는 면접에서 떨어졌고 인턴으로라도 들어가려고 했는데 떨어졌다"며 "다시 공부해서 필기와 면접에 합격해서 들어갔다"고 설명했다. 그는 "지금 (아들이)근무하는 곳도 대단한 곳이 아니고 지망하는 사람도 많지 않다고 들었다"고 강조했다. 아들이 사구체신염으로 병역면제를 받은 것에 관해 김 후보자는 "코이카 시험 과정에서 소변에 피가 나온다고 해서 재검을 받으라는 통보가 왔고 재검을 받았는데도 마찬가지였다"며 "그 직후 코이카에 불합격됐고 사구체신염은 현역이 안 된다고 해서 못 갔다"고 해명했다.
c	김진태 인사청문회	(서울=연합뉴스) 송수경 강건택 박경준 기자 = 김진태 검찰총장 후보자에 대한 13일 국회 법제사법위원회 인사청문회에서는 이른바 '삼성 떡값'과 아들 병역에 관한 의혹, '윤석열 사태' 등을 둘러싸고 치열한 공방이 벌어졌다. 대체로
e	윤정수 파산신청	윤정수가 파산신청을 했다는 사실이 알려진 가운데 윤정수 과거발언도 주목받고 있다. 11월12일 법조계 등에 따르면 개그맨 윤정수는 최근 서울중앙지방법원에 개인파산을 신청했다. 윤정수는 과거 방송에서 경매로 집이 넘어가게 된 심경을
